Mods count: 209
 
                               jar name                                 | notes |             mod id             |             mod name             |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
CraftTweaker-forge-1.20.1-14.0.60.jar                                   |       | crafttweaker                   | CraftTweaker                     | 14.0.60                      | crafttweaker.mixins.json, crafttweaker.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                     | 79ddddd3f14f8d4992ba90a7a8980918ed1b9ff8 | 2763445506     
CrashAssistant-forge-1.19-1.20.1-1.11.9.jar                             |       | crash_assistant                | Crash Assistant                  | 1.11.9                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | e94c49268c83301ee066dca9501c4b5fa902b33d | 289595968      
    /META-INF/jarjar/app.jar                                            |       |                                |                                  |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/crash_assistant-forge.jar                          |       | crash_assistant                | Crash Assistant                  | 1.11.9                       | crash_assistant.mixins.json, crash_assistant-forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                               |                                          |                
create-1.20.1-6.0.8.jar                                                 |       | create                         | Create                           | 6.0.8                        | create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | b13d912b9247a38d66d11598c121442585a1c1e9 | 2156032012     
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                     |       | ponder                         | Ponder                           | 1.0.91                       | ponder-common.mixins.json, ponder.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                        |       |                                |                                  |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.5.jar                    |       | flywheel                       | Flywheel                         | 1.0.5                        | flywheel.impl.mixins.json, flywheel.backend.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                          |                
create-new-age-forge-1.20.1-1.1.4.jar                                   |       | create_new_age                 | Create: New Age                  | 1.1.4                        | create_new_age.mixins.json, create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                               | 46687106ee5753ff3a92580ce514c6abc6216045 | 351713580      
create_hypertube-0.4.0-FORGE.jar                                        |       | create_hypertube               | Create Hypertube                 | 0.4.0                        | conflict_fix.mixins.json, create_hypertube.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                       | 49712554e365e4412fa6362f0394e919fe7eb261 | 694433954      
